C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,1e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.0001,1.0,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.0021324250995842686
0.001,1.0,0.000126,1.0,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.0021324250995842686
0.001,1.0,0.000158,1.0,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.004264850199168537
0.001,1.0,0.0002,1.0,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.004264850199168537
0.001,1.0,0.000251,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000316,1.0,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.004264850199168537
0.001,1.0,0.000398,1.0,0.00013333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.008529700398337075
0.001,1.0,0.000501,1.0,0.0001,5.331062748960671e-05,9.762063264897768e-07,0.0063972752987528055
0.001,1.0,0.000631,1.0,0.00013333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.008529700398337075
0.001,1.0,0.000794,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
